用語,正しい意味,不正解1,不正解2,やさしい日本語,インドネシア語,解説,画像ファイル名
IADL,手段的日常生活動作,生活の質,関節可動域,にちじょうの ふくざつな うごき,Aktivitas Kehidupan Sehari-hari Instrumental,買い物や電話など複雑な日常生活動作のことです。,no.png
QOL,生活の質,手段的日常生活動作,リハビリテーション,せいかつの しつ,Kualitas Hidup,その人らしく満足して暮らせているかという指標です。,no.png
ROM,関節可動域,生活の質,リハビリテーション,かんせつが うごく はんい,Rentang Gerak Sendi,関節を動かすことができる範囲のことです。,no.png
リハ,リハビリテーション,理学療法士,作業療法士,きのうを かいふくする くんれん,Rehabilitasi,機能回復や維持のためのトレーニングです。,no.png
PT,理学療法士,作業療法士,言語聴覚士,からだの リハビリを する ひと,Fisioterapis,寝返る、起き上がる、歩くなどの基本動作を支援する専門職です。,no.png
OT,作業療法士,理学療法士,言語聴覚士,てさきや にちじょうの リハビリを する ひと,Okupasi Terapis,入浴や食事など、日常生活の応用的な動作を支援する専門職です。,no.png
ST,言語聴覚士,理学療法士,作業療法士,ことばや たべる リハビリを する ひと,Terapis Bicara,話すことや食べること（嚥下）を支援する専門職です。,no.png
ケアプラン,介護サービス計画,利用者の状態評価,状態の継続確認,かいごの けいかくしょ,Rencana Asuhan Keperawatan,どのような介護サービスを受けるかをまとめた計画書です。,no.png
アセスメント,利用者の状態評価,介護サービス計画,状態の継続確認,りようしゃの じょうたいを しらべること,Asesmen / Evaluasi Kondisi,利用者の心身の状態や課題を分析・評価することです。,no.png
モニタリング,状態の継続確認,利用者の状態評価,関係職種による会議,けいかくどおりか かくにんすること,Monitoring / Pemantauan,立てた計画がうまく進んでいるか定期的に見直すことです。,no.png
サービス担当者会議,関係職種による会議,状態の継続確認,介護支援専門員,せんもんかたちが あつまる かいぎ,Rapat Tim Asuhan / Konferensi Kasus,利用者を支える専門職が集まって方針を話し合う会議です。,no.png
ケアマネ,介護支援専門員,関係職種による会議,理学療法士,けいかくを たてる せんもんしょく,Manajer Care / Manajer Kasus,ケアプランを作成し、サービスを調整する専門職です。,no.png
拘縮,関節が動かしにくくなること,身体が動かしにくい状態,尿・便を我慢できない状態,かんせつが かたまること,Kontraktur,動かさないことで関節が固まってしまう状態です。,no.png
麻痺,身体が動かしにくい状態,関節が動かしにくくなること,尿・便を我慢できない状態,からだの いちぶが うごかないこと,Kelumpuhan / Paralisis,神経のトラブルなどで手足が動かなくなる状態です。,no.png
失禁,尿・便を我慢できない状態,尿をしたい感覚,便をしたい感覚,おしっこや うんちを もらすこと,Inkontinensia,自分の意思とは関係なく排泄してしまうことです。,no.png
